_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
630ca7c0bd468b1369c2e435|true|25.19|95.65|27.59|66.05|63,2,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1661773760000
630b4f52bd468b13692ac732||21.19|89.71|27.19|44.49|53,4,0,0|time|30|-1|0|30.01|3|0|false|false|english_1k|none|normal|false|false|false||1661685586000
630a08c25caa2272ab6f0c76|true|21.2|94.2|27.6|54.94|53,2,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1661601986000
6308b0d95caa2272abd6fcea||19.59|91.07|22.39|40.49|49,4,0,0|time|30|-1|0|30.01|5|0|false|false|english_1k|none|normal|false|false|false||1661513945000
630769015caa2272ab53ca48|true|19.6|90.32|24.8|47.25|49,4,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1661430017000
630768ad5caa2272ab53c7c7||17.2|83.05|23.6|46.86|43,6,0,1|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661429933000
630605065caa2272abb01d6f||17.2|87.5|25.6|47.76|43,5,0,0|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661338886000
6304e0315caa2272ab53e21b||15.6|84.13|25.2|50.38|39,5,0,0|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661263921000
63036cef4d8250424f295e71||19.2|91.67|24|45.42|48,3,0,0|time|30|-1|0|30|3|0|false|false|english|none|normal|false|false|false||1661168879000
63020d874d8250424f8de22d||12.4|75|24|43.96|31,10,2,1|time|30|-1|0|30|3|0|false|false|english|none|normal|false|false|false||1661078919000
62fe2e5d4d8250424f07dff1||12.8|86.79|21.2|27.38|32,4,0,0|time|30|-1|0|30|6|0|false|false|english|none|normal|false|false|false||1660825181000
62fcc84e4d8250424f65e63b|true|19.59|84.85|26.39|54|49,7,0,0|time|30|-1|0|30.01|2|0|false|false|english|none|normal|false|false|false||1660733518000
62fb6c794d8250424fd1163e||15.6|95.45|17.6|23.84|39,1,0,0|time|30|-1|0|30|9|0|false|false|english|none|normal|false|false|false||1660644473000
62f752474d8250424f119637||12.4|83.33|21.59|30.23|31,4,1,0|time|30|-1|0|30.01|6|0|false|false|english|none|normal|false|false|false||1660375623000
62f637384d8250424fccee53|true|16.39|100|16.39|29.29|41,0,0,0|time|30|-1|0|30.01|5|0|false|false|english|none|normal|false|false|false||1660303160000
62f4ee454d8250424f4ff5ef||6.8|75|14.4|18.87|17,6,0,0|time|30|-1|0|30.01|9|0|false|false|english|none|normal|false|false|false||1660218949000
62f23fe94d8250424f3b7e02||7.6|89.29|11.2|13.88|19,2,0,0|time|30|-1|0|30.01|11|0|false|false|english|none|normal|false|false|false||1660043241000
62f0efcd4d8250424fb8412d|true|10|100|10|2.89|25,0,0,0|time|30|-1|0|30.01|15|0|false|false|english|none|normal|false|false|false||1659957197000
